time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
1.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
2.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
3.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
4.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
5.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
6.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
7.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
8.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
9.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
10.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
11.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
12.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
13.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
14.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
15.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
16.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
17.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
18.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
19.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
20.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
21.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
22.0,-2,7,4,-3,-2,5,4,-2,-5,-3,-6,-4
23.0,-2,7,4,-3,-2,5,3,-2,-5,-3,-6,-4
24.0,-2,7,4,-3,-2,5,3,-2,-5,-3,-6,-4
25.0,-2,7,4,-3,-2,5,3,-2,-5,-3,-6,-4
26.0,-2,7,4,-3,-2,5,2,-2,-5,-3,-6,-4
27.0,-2,7,4,-3,-2,5,2,-2,-5,-3,-6,-4
28.0,-2,7,4,-3,-2,5,2,-2,-5,-3,-6,-4
29.0,-2,7,4,-3,-2,5,2,-2,-5,-3,-6,-4
30.0,-2,7,4,-3,-2,5,2,-2,-5,-3,-6,-4
31.0,-2,7,4,-3,-2,5,2,-2,-5,-3,-6,-4
32.0,-2,7,4,-3,-2,5,2,-2,-4,-3,-6,-3
33.0,-2,7,4,-3,-2,5,2,-2,-4,-3,-6,-3
34.0,-2,6,4,-3,-2,5,2,-2,-4,-3,-6,-3
35.0,-2,6,4,-3,-2,5,2,-2,-4,-3,-6,-3
36.0,-2,6,4,-3,-2,5,2,-2,-4,-3,-6,-3
37.0,-2,6,4,-2,-2,5,2,-2,-4,-3,-6,-3
38.0,-2,6,4,-2,-2,4,2,-2,-4,-3,-6,-3
39.0,-2,6,4,-2,-2,5,2,-2,-4,-3,-6,-3
40.0,-2,6,4,-2,-2,5,2,-2,-4,-3,-6,-3
41.0,-2,6,4,-2,-2,5,2,-2,-5,-3,-5,-3
42.0,-2,6,4,-2,-2,5,2,-2,-5,-3,-5,-3
43.0,-2,6,4,-3,-2,5,2,-2,-5,-3,-5,-3
44.0,-2,6,4,-3,-2,5,2,-2,-5,-3,-5,-3
45.0,-2,6,3,-3,-2,5,2,-2,-5,-3,-5,-3
46.0,-2,6,3,-4,-2,5,2,-2,-5,-3,-5,-3
47.0,-2,6,3,-4,-2,5,2,-2,-5,-3,-5,-3
48.0,-2,6,3,-4,-2,5,2,-2,-5,-3,-5,-3
49.0,-2,6,3,-4,-2,5,2,-2,-5,-3,-5,-3
50.0,-2,6,3,-3,-2,5,2,-2,-5,-3,-5,-3
51.0,-2,6,3,-3,-2,5,2,-2,-5,-3,-5,-3
52.0,-2,6,3,-3,-2,5,2,-2,-5,-3,-5,-3
53.0,-2,6,3,-3,-2,5,2,-2,-4,-3,-5,-3
54.0,-2,6,3,-3,-2,5,2,-2,-4,-3,-5,-3
55.0,-2,6,3,-3,-2,5,2,-2,-4,-3,-5,-3
56.0,-2,6,3,-3,-2,5,2,-2,-4,-3,-5,-3
57.0,-2,6,3,-3,-2,5,2,-2,-4,-3,-5,-3
58.0,-2,6,3,-3,-2,5,2,-2,-4,-3,-5,-3
59.0,-2,6,3,-3,-2,5,2,-2,-4,-3,-5,-3
60.0,-2,6,3,-3,-2,5,2,-2,-4,-3,-5,-3
61.0,-2,6,3,-3,-2,5,2,-2,-4,-3,-5,-3
62.0,-2,6,3,-3,-2,4,2,-2,-5,-3,-5,-3
63.0,-3,6,3,-3,-2,4,2,-2,-5,-3,-5,-3
64.0,-3,6,3,-3,-2,4,2,-2,-5,-3,-5,-3
65.0,-3,6,3,-2,-2,4,2,-2,-5,-3,-5,-3
66.0,-3,5,3,-2,-2,4,2,-2,-5,-3,-5,-3
67.0,-3,5,3,-2,-2,4,2,-2,-5,-3,-5,-3
68.0,-3,5,3,-1,-2,4,2,-2,-5,-3,-5,-3
69.0,-3,5,3,-1,-2,4,2,-2,-5,-3,-5,-2
70.0,-3,5,3,-2,-2,4,2,-2,-5,-3,-5,-2
71.0,-3,5,3,-2,-2,4,2,-2,-5,-3,-5,-2
72.0,-3,5,3,-2,-2,4,2,-2,-5,-3,-5,-2
73.0,-3,5,3,-2,-2,4,2,-2,-5,-3,-5,-2
74.0,-3,5,3,-2,-2,5,2,-2,-5,-3,-5,-2
75.0,-3,5,3,-2,-2,5,2,-2,-5,-3,-5,-2
76.0,-3,5,3,-2,-2,5,1,-2,-5,-3,-5,-2
77.0,-3,5,3,-2,-2,5,1,-2,-5,-3,-5,-2
78.0,-3,5,3,-2,-2,5,1,-2,-5,-3,-5,-2
79.0,-3,5,3,-2,-2,5,1,-2,-5,-3,-5,-2
80.0,-3,4,3,-2,-2,5,1,-2,-5,-3,-5,-2
81.0,-3,4,3,-2,-2,5,1,-2,-5,-3,-5,-2
82.0,-3,4,3,-2,-2,5,1,-2,-5,-3,-5,-2
83.0,-3,4,3,-3,-2,5,1,-2,-5,-3,-5,-2
84.0,-3,4,3,-3,-2,5,1,-2,-5,-3,-5,-2
85.0,-3,4,3,-3,-2,5,1,-2,-5,-3,-5,-2
86.0,-4,4,3,-3,-2,5,1,-2,-6,-3,-5,-2
87.0,-4,4,3,-3,-2,5,1,-2,-6,-3,-5,-2
88.0,-4,4,3,-3,-2,5,1,-2,-6,-3,-5,-2
89.0,-4,4,3,-3,-2,5,1,-2,-6,-3,-5,-2
90.0,-4,4,3,-3,-2,6,1,-2,-6,-3,-5,-2
91.0,-4,4,3,-3,-2,6,1,-2,-6,-3,-5,-2
92.0,-4,4,3,-3,-2,6,1,-2,-6,-3,-5,-2
93.0,-4,4,3,-3,-2,6,1,-2,-6,-3,-5,-2
94.0,-4,4,3,-3,-2,6,1,-2,-6,-4,-5,-2
95.0,-4,4,3,-3,-2,7,1,-2,-6,-4,-5,-2
96.0,-4,4,3,-3,-2,7,1,-2,-6,-4,-5,-2
97.0,-4,4,3,-2,-2,7,1,-2,-6,-4,-5,-2
98.0,-4,4,3,-2,-2,7,1,-2,-6,-4,-5,-2
99.0,-4,4,3,-2,-1,7,1,-2,-6,-4,-5,-2
100.0,-4,4,3,-2,-1,8,1,-2,-6,-4,-5,-2
101.0,-4,4,3,-2,-1,8,2,-2,-6,-4,-5,-2
102.0,-4,4,2,-2,-1,8,2,-2,-6,-4,-5,-2
103.0,-4,4,2,-2,-1,8,2,-2,-6,-4,-5,-2
104.0,-4,4,2,-2,-1,9,2,-2,-6,-4,-5,-2
105.0,-4,4,2,-2,-1,9,2,-2,-6,-4,-5,-2
106.0,-4,4,2,-2,-1,9,2,-2,-6,-4,-6,-2
107.0,-4,4,2,-2,-1,10,2,-2,-7,-4,-6,-2
108.0,-4,4,2,-2,-1,10,2,-2,-7,-4,-6,-2
109.0,-4,4,2,-2,-1,10,2,-2,-7,-4,-6,-2
110.0,-4,4,2,-2,-1,10,2,-2,-7,-4,-6,-2
111.0,-4,4,2,-2,-1,11,2,-2,-7,-4,-6,-2
112.0,-4,4,2,-2,-1,11,2,-2,-7,-4,-6,-2
113.0,-4,4,2,-2,-1,12,2,-2,-7,-4,-6,-2
114.0,-4,4,2,-2,-1,12,2,-2,-7,-4,-6,-2
115.0,-4,4,2,-2,-1,12,2,-2,-7,-4,-6,-2
116.0,-4,4,2,-2,-1,13,2,-2,-7,-4,-6,-2
117.0,-4,4,2,-2,-1,13,2,-2,-7,-4,-6,-2
118.0,-4,4,2,-2,-1,14,2,-2,-7,-4,-6,-2
119.0,-4,4,2,-2,-1,14,2,-2,-7,-4,-6,-2
120.0,-4,4,2,-3,-1,15,2,-2,-7,-4,-6,-2
121.0,-4,4,2,-3,-1,15,2,-2,-7,-4,-6,-2
122.0,-4,4,2,-4,-1,16,2,-2,-7,-4,-6,-2
123.0,-4,4,2,-4,-1,17,2,-2,-7,-4,-6,-2
124.0,-4,4,2,-4,-1,17,2,-2,-7,-4,-6,-2
125.0,-4,4,2,-5,-2,17,2,-2,-7,-4,-6,-2
126.0,-4,4,2,-5,-2,18,2,-2,-7,-4,-6,-2
127.0,-4,4,2,-5,-2,18,2,-2,-7,-4,-6,-2
128.0,-4,4,2,-5,-2,19,2,-2,-7,-4,-6,-2
129.0,-4,4,2,-5,-2,19,2,-2,-7,-4,-6,-2
130.0,-4,4,2,-5,-2,19,2,-2,-7,-4,-6,-2
131.0,-4,4,2,-6,-2,19,2,-2,-7,-4,-6,-2
132.0,-4,3,2,-6,-3,19,2,-2,-7,-4,-6,-2
133.0,-4,3,2,-6,-3,19,2,-2,-7,-4,-6,-2
134.0,-4,3,2,-6,-3,19,2,-2,-7,-4,-6,-2
135.0,-4,3,2,-6,-3,19,2,-2,-7,-4,-6,-2
136.0,-4,3,2,-7,-3,19,2,-2,-7,-4,-6,-2
137.0,-4,3,2,-7,-3,19,2,-2,-7,-4,-6,-2
138.0,-4,3,2,-7,-3,19,2,-2,-7,-4,-6,-2
139.0,-4,3,2,-7,-3,19,2,-2,-7,-4,-6,-2
140.0,-4,3,2,-7,-3,19,2,-2,-7,-4,-6,-2
141.0,-4,3,2,-7,-3,19,2,-2,-7,-4,-6,-2
142.0,-4,3,2,-7,-3,19,2,-2,-7,-4,-6,-2
